"","strat01","strat02","strat03","strat04","strat05","strat06","strat07","strat08","strat09","strat10","strat11","strat12","strat13","strat14","strat15","strat16","strat17","strat18","strat19","strat20","strat21","strat22","strat23","strat24","strat25","strat26","strat27","strat28","strat29","strat30","strat31","strat32","strat33","strat34","strat35","strat36","strat37","strat38","strat39","strat40","strat41","strat42","strat43","strat44","strat45","strat46","strat47","strat48","strat49","strat50","strat51","strat52","strat53","strat54","strat55","strat56","strat57","strat58","strat59","strat60","strat61","strat62","strat63","strat64","strat65","strat66","strat67","strat68","strat69","strat70","strat71","strat72"
"Schleiden",3,1,0,1,2,4,2,1,3,1,3,3,0,1,5,1,2,2,4,1,2,1,1,5,1,3,2,1,5,3,2,3,3,1,1,5,2,0,1,4,3,2,1,4,2,2,3,1,2,4,3,0,4,2,1,3,4,2,5,2,1,3,1,4,3,1,0,0,1,0,3,4
"Ratingen",1,0,3,3,4,2,3,1,3,1,4,3,3,4,4,4,0,4,3,0,4,1,3,2,4,2,3,2,1,4,2,3,1,2,1,0,3,1,3,0,0,1,4,4,1,3,5,1,3,3,2,3,2,0,2,2,5,2,2,2,0,3,0,4,3,4,3,3,5,4,3,3
"Meerbusch",1,3,2,1,2,1,4,3,4,5,1,5,4,4,4,3,5,5,3,0,4,3,1,4,5,4,5,2,1,4,3,2,2,3,0,3,4,1,5,4,4,1,4,1,4,1,3,5,1,2,1,4,1,4,1,4,2,0,4,5,3,4,1,5,2,4,3,0,2,3,4,5
"Hellenthal",3,2,2,3,4,3,3,2,5,3,4,4,0,2,0,2,0,4,5,4,1,3,3,1,5,5,5,3,3,1,5,3,3,4,3,2,2,3,4,3,2,3,4,3,4,4,3,2,4,2,5,0,3,1,0,3,0,3,2,5,0,1,0,1,0,5,3,1,3,4,2,4
"""Uebach-Palenberg""",2,1,3,3,3,4,3,1,0,0,0,4,2,0,4,2,3,2,3,3,1,4,0,3,2,4,5,2,4,5,3,2,2,2,4,2,3,2,2,3,4,4,2,2,2,4,2,3,3,0,3,2,2,3,2,1,3,4,1,3,3,4,5,1,2,1,4,1,1,4,1,2
"Bestwig",4,4,0,4,2,5,1,2,2,1,2,3,3,1,5,3,3,2,2,1,2,1,1,5,1,4,0,4,1,3,3,4,3,5,3,5,1,3,4,1,3,4,3,1,2,2,3,0,4,2,4,4,5,3,2,4,1,4,1,3,4,4,1,5,3,1,4,4,2,2,4,1
"Lengerich",4,2,2,1,3,0,4,1,1,3,3,0,3,1,2,4,4,2,5,2,3,2,2,1,1,2,1,5,4,4,4,3,1,2,0,5,1,4,2,0,2,2,1,0,3,3,1,2,2,1,4,1,3,4,1,5,2,3,3,0,1,4,2,3,2,4,4,4,3,3,3,2
"Radevormwald",1,1,4,3,2,0,0,4,1,1,2,0,4,5,1,4,2,4,1,3,2,2,2,5,3,4,2,4,3,1,4,3,2,2,3,0,4,1,5,4,1,1,2,2,4,4,2,5,5,1,3,0,2,1,5,4,0,2,3,4,4,3,1,1,2,4,2,0,2,3,5,3
"Siegen",1,4,3,2,1,0,4,1,2,4,4,2,2,2,2,3,4,2,5,1,0,4,2,1,2,3,0,0,3,2,0,4,3,1,5,2,4,4,2,4,0,4,4,4,2,4,5,4,1,0,4,5,4,2,3,2,0,3,4,4,3,0,2,0,3,2,1,2,4,5,2,3
"Soest",5,5,0,3,4,3,3,2,2,2,2,4,5,5,5,3,2,1,5,2,1,3,0,1,2,2,1,4,2,3,1,2,1,5,2,1,3,2,3,0,2,4,3,1,1,4,1,1,1,3,3,1,2,4,2,0,2,3,1,3,2,5,5,3,4,2,0,0,4,1,0,5
"Issum",1,2,2,2,1,5,2,5,4,2,4,2,4,2,2,4,1,3,2,2,2,4,5,5,1,1,1,5,4,2,4,1,3,0,1,4,0,4,4,4,1,5,3,3,4,3,2,4,2,2,3,1,1,3,4,0,3,1,1,1,2,2,5,3,3,4,2,3,4,3,5,5
"Waltrop",3,5,2,3,2,4,4,2,4,2,1,3,3,3,0,2,2,3,3,4,2,2,4,4,5,4,2,4,3,4,1,1,2,1,4,2,3,4,3,3,1,0,1,2,2,5,4,1,3,1,5,2,3,4,0,5,5,4,4,1,0,0,1,2,5,5,4,1,4,5,3,5
"""Castrop-Rauxel""",2,1,5,1,3,2,1,3,0,3,1,3,1,2,4,4,4,3,1,0,5,4,4,4,1,3,4,5,1,2,2,2,4,1,3,4,1,4,3,3,1,2,5,2,3,0,1,4,4,5,5,5,5,5,3,2,4,1,3,3,5,2,2,0,3,2,1,5,3,3,1,3
"Nettetal",4,0,1,3,1,2,4,5,4,3,0,0,4,3,1,4,4,1,1,5,3,2,1,3,3,0,4,1,3,0,5,2,3,2,2,1,3,3,4,2,3,3,4,4,3,3,4,1,3,4,4,2,4,2,2,3,4,1,1,3,4,1,2,5,3,3,5,2,4,4,3,4
"""BadSalzuflen""",0,4,3,1,3,2,3,2,3,2,4,5,4,2,5,5,1,4,4,4,4,1,4,4,5,0,3,3,1,1,3,4,4,3,4,5,4,1,4,3,0,4,3,3,4,1,2,5,3,3,4,3,5,4,1,1,1,2,2,4,1,4,2,1,1,3,2,0,1,2,5,5
